ds,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,daily_volume,roi,margin,potential_profit,margin_x_volume,fetched_at,source,item_id,_raw_json
2025-08-08 00:00:00+00:00,1754611200,6,5,94119300,12171300,106290600,20.0,1.0,106290600.0,106290600.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1754611200, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 94119300, ""lowPriceVolume"": 12171300}"
2025-08-09 00:00:00+00:00,1754697600,6,5,77504016,8165150,85669166,20.0,1.0,85669166.0,85669166.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1754697600, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 77504016, ""lowPriceVolume"": 8165150}"
2025-08-10 00:00:00+00:00,1754784000,6,5,96603579,12568564,109172143,20.0,1.0,109172143.0,109172143.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1754784000, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 96603579, ""lowPriceVolume"": 12568564}"
2025-08-11 00:00:00+00:00,1754870400,6,5,83137224,10486069,93623293,20.0,1.0,93623293.0,93623293.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1754870400, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 83137224, ""lowPriceVolume"": 10486069}"
2025-08-12 00:00:00+00:00,1754956800,6,5,85860725,11902818,97763543,20.0,1.0,97763543.0,97763543.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1754956800, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 85860725, ""lowPriceVolume"": 11902818}"
2025-08-13 00:00:00+00:00,1755043200,6,5,79357950,7753725,87111675,20.0,1.0,87111675.0,87111675.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1755043200, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 79357950, ""lowPriceVolume"": 7753725}"
2025-08-14 00:00:00+00:00,1755129600,6,5,74631772,8190153,82821925,20.0,1.0,82821925.0,82821925.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1755129600, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 74631772, ""lowPriceVolume"": 8190153}"
2025-08-15 00:00:00+00:00,1755216000,6,5,72973824,12366766,85340590,20.0,1.0,85340590.0,85340590.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1755216000, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 72973824, ""lowPriceVolume"": 12366766}"
2025-08-16 00:00:00+00:00,1755302400,6,5,95803272,10156946,105960218,20.0,1.0,105960218.0,105960218.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1755302400, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 95803272, ""lowPriceVolume"": 10156946}"
2025-08-17 00:00:00+00:00,1755388800,6,5,96342407,22398591,118740998,20.0,1.0,118740998.0,118740998.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1755388800, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 96342407, ""lowPriceVolume"": 22398591}"
